1023 possible coalitions with max. 5 parties
157 are a majority (min. 76)
CDA	D66	PVV	VVD	90
CDA	D66	GL	VVD	80
CDA	D66	PvdA	VVD	85
CDA	D66	GL	PVV	85
CDA	CU	D66	PVV	78
CDA	D66	PVV	SP	80
CDA	D66	PVV	PvdA	90
CDA	D66	GL	PvdA	80
CDA	GL	PVV	VVD	85
CDA	CU	PVV	VVD	78
CDA	PVV	SP	VVD	80
CDA	PVV	PvdA	VVD	90
CDA	GL	PvdA	VVD	80
CDA	GL	PVV	PvdA	85
CDA	CU	PVV	PvdA	78
CDA	PVV	PvdA	SP	80
D66	GL	PVV	VVD	80
D66	PVV	PvdA	VVD	85
D66	GL	PVV	PvdA	80
GL	PVV	PvdA	VVD	80
CDA	D66	GL	PVV	VVD	105
CDA	D66	PVV	SGP	VVD	92
CDA	CU	D66	PVV	VVD	98
CDA	D66	PVV	SP	VVD	100
CDA	D66	PVV	PvdA	VVD	110
CDA	D66	PVV	TON	VVD	92
CDA	D66	PVV	PvdD	VVD	93
CDA	D66	GL	SGP	VVD	82
CDA	CU	D66	GL	VVD	88
CDA	D66	GL	SP	VVD	90
CDA	D66	GL	PvdA	VVD	100
CDA	D66	GL	TON	VVD	82
CDA	D66	GL	PvdD	VVD	83
CDA	D66	SGP	SP	VVD	77
CDA	D66	PvdA	SGP	VVD	87
CDA	CU	D66	SP	VVD	83
CDA	CU	D66	PvdA	VVD	93
CDA	D66	PvdA	SP	VVD	95
CDA	D66	SP	TON	VVD	77
CDA	D66	PvdD	SP	VVD	78
CDA	D66	PvdA	TON	VVD	87
CDA	D66	PvdA	PvdD	VVD	88
CDA	D66	GL	PVV	SGP	87
CDA	CU	D66	GL	PVV	93
CDA	D66	GL	PVV	SP	95
CDA	D66	GL	PVV	PvdA	105
CDA	D66	GL	PVV	TON	87
CDA	D66	GL	PVV	PvdD	88
CDA	CU	D66	PVV	SGP	80
CDA	D66	PVV	SGP	SP	82
CDA	D66	PVV	PvdA	SGP	92
CDA	CU	D66	PVV	SP	88
CDA	CU	D66	PVV	PvdA	98
CDA	CU	D66	PVV	TON	80
CDA	CU	D66	PVV	PvdD	81
CDA	D66	PVV	PvdA	SP	100
CDA	D66	PVV	SP	TON	82
CDA	D66	PVV	PvdD	SP	83
CDA	D66	PVV	PvdA	TON	92
CDA	D66	PVV	PvdA	PvdD	93
CDA	D66	GL	PvdA	SGP	82
CDA	CU	D66	GL	SP	78
CDA	CU	D66	GL	PvdA	88
CDA	D66	GL	PvdA	SP	90
CDA	D66	GL	PvdA	TON	82
CDA	D66	GL	PvdA	PvdD	83
CDA	D66	PvdA	SGP	SP	77
CDA	CU	D66	PvdA	SP	83
CDA	D66	PvdA	SP	TON	77
CDA	D66	PvdA	PvdD	SP	78
CDA	GL	PVV	SGP	VVD	87
CDA	CU	GL	PVV	VVD	93
CDA	GL	PVV	SP	VVD	95
CDA	GL	PVV	PvdA	VVD	105
CDA	GL	PVV	TON	VVD	87
CDA	GL	PVV	PvdD	VVD	88
CDA	CU	PVV	SGP	VVD	80
CDA	PVV	SGP	SP	VVD	82
CDA	PVV	PvdA	SGP	VVD	92
CDA	CU	PVV	SP	VVD	88
CDA	CU	PVV	PvdA	VVD	98
CDA	CU	PVV	TON	VVD	80
CDA	CU	PVV	PvdD	VVD	81
CDA	PVV	PvdA	SP	VVD	100
CDA	PVV	SP	TON	VVD	82
CDA	PVV	PvdD	SP	VVD	83
CDA	PVV	PvdA	TON	VVD	92
CDA	PVV	PvdA	PvdD	VVD	93
CDA	GL	PvdA	SGP	VVD	82
CDA	CU	GL	SP	VVD	78
CDA	CU	GL	PvdA	VVD	88
CDA	GL	PvdA	SP	VVD	90
CDA	GL	PvdA	TON	VVD	82
CDA	GL	PvdA	PvdD	VVD	83
CDA	PvdA	SGP	SP	VVD	77
CDA	CU	PvdA	SP	VVD	83
CDA	PvdA	SP	TON	VVD	77
CDA	PvdA	PvdD	SP	VVD	78
CDA	GL	PVV	SGP	SP	77
CDA	GL	PVV	PvdA	SGP	87
CDA	CU	GL	PVV	SP	83
CDA	CU	GL	PVV	PvdA	93
CDA	GL	PVV	PvdA	SP	95
CDA	GL	PVV	SP	TON	77
CDA	GL	PVV	PvdD	SP	78
CDA	GL	PVV	PvdA	TON	87
CDA	GL	PVV	PvdA	PvdD	88
CDA	CU	PVV	PvdA	SGP	80
CDA	PVV	PvdA	SGP	SP	82
CDA	CU	PVV	PvdA	SP	88
CDA	CU	PVV	PvdA	TON	80
CDA	CU	PVV	PvdA	PvdD	81
CDA	PVV	PvdA	SP	TON	82
CDA	PVV	PvdA	PvdD	SP	83
CDA	CU	GL	PvdA	SP	78
D66	GL	PVV	SGP	VVD	82
CU	D66	GL	PVV	VVD	88
D66	GL	PVV	SP	VVD	90
D66	GL	PVV	PvdA	VVD	100
D66	GL	PVV	TON	VVD	82
D66	GL	PVV	PvdD	VVD	83
D66	PVV	SGP	SP	VVD	77
D66	PVV	PvdA	SGP	VVD	87
CU	D66	PVV	SP	VVD	83
CU	D66	PVV	PvdA	VVD	93
D66	PVV	PvdA	SP	VVD	95
D66	PVV	SP	TON	VVD	77
D66	PVV	PvdD	SP	VVD	78
D66	PVV	PvdA	TON	VVD	87
D66	PVV	PvdA	PvdD	VVD	88
D66	GL	PvdA	SGP	VVD	77
CU	D66	GL	PvdA	VVD	83
D66	GL	PvdA	SP	VVD	85
D66	GL	PvdA	TON	VVD	77
D66	GL	PvdA	PvdD	VVD	78
CU	D66	PvdA	SP	VVD	78
D66	GL	PVV	PvdA	SGP	82
CU	D66	GL	PVV	SP	78
CU	D66	GL	PVV	PvdA	88
D66	GL	PVV	PvdA	SP	90
D66	GL	PVV	PvdA	TON	82
D66	GL	PVV	PvdA	PvdD	83
D66	PVV	PvdA	SGP	SP	77
CU	D66	PVV	PvdA	SP	83
D66	PVV	PvdA	SP	TON	77
D66	PVV	PvdA	PvdD	SP	78
GL	PVV	PvdA	SGP	VVD	82
CU	GL	PVV	SP	VVD	78
CU	GL	PVV	PvdA	VVD	88
GL	PVV	PvdA	SP	VVD	90
GL	PVV	PvdA	TON	VVD	82
GL	PVV	PvdA	PvdD	VVD	83
PVV	PvdA	SGP	SP	VVD	77
CU	PVV	PvdA	SP	VVD	83
PVV	PvdA	SP	TON	VVD	77
PVV	PvdA	PvdD	SP	VVD	78
CU	GL	PVV	PvdA	SP	78
